student_id,student_name,gender,event_date,age,city,department,event_type,registration_date,registration_channel,payment_status,attendance_status,meal_preference,registration_fee,event_duration_hours,feedback_rating
s12237,lakshmi rao,other,2026-08-02,19,kochi,computer science,sports meet,2026-08-01,email,paid,cancelled,vegetarian,150.0,1.0,3.0
s11565,manoj kumar,male,2026-03-02,21,trichy,mechanical,career fair,2026-09-02,email,waived,cancelled,non-vegetarian,200.0,2.0,4.0
s12093,swetha menon,other,2026-05-15,21,salem,arts,workshop,2026-04-16,website,refunded,absent,vegan,200.0,2.5,5.0
s11090,manoj kumar,unknown,2026-03-25,18,chennai,arts,cultural fest,2026-03-16,mobile app,waived,absent,non-vegetarian,200.0,2.5,3.0
s11896,priya sharma,female,2026-01-20,24,hyderabad,unknown,hackathon,2026-11-01,campus desk,waived,cancelled,non-vegetarian,200.0,4.0,2.0
s12839,naveen sharma,other,2026-02-23,18,coimbatore,computer science,career fair,2026-11-01,campus desk,paid,attended,vegan,150.0,2.5,1.0
s12062,lakshmi rao,female,2026-08-09,26,coimbatore,arts,seminar,2026-04-07,website,pending,cancelled,vegetarian,500.0,2.0,5.0
s11591,lakshmi rao,other,2026-02-04,18,pune,management,workshop,2026-03-18,campus desk,paid,absent,non-vegetarian,200.0,2.5,5.0
s11305,harini iyer,male,2026-08-09,24,coimbatore,management,hackathon,1900-01-01,campus desk,waived,attended,vegan,300.0,6.0,3.0
s10346,deepa sharma,other,2026-02-24,27,chennai,management,seminar,2026-10-02,email,waived,cancelled,no-meal,300.0,2.0,3.0
s12380,pooja das,female,2026-06-17,26,chennai,management,seminar,2026-02-06,walk-in,pending,attended,no-meal,100.0,2.0,3.0
s12003,meena patel,other,2026-07-15,27,trichy,civil engineering,cultural fest,2026-01-07,website,paid,attended,vegetarian,250.0,1.5,3.0
s10307,priya sharma,other,2026-08-31,18,trichy,computer science,cultural fest,2026-06-07,walk-in,waived,cancelled,no-meal,200.0,2.5,5.0
s10214,keerthi rao,other,2026-04-01,27,pune,management,sports meet,2026-03-14,walk-in,paid,cancelled,vegetarian,200.0,2.5,3.0
s11315,ajay nair,male,2026-05-05,25,kochi,civil engineering,hackathon,2026-04-19,email,refunded,attended,vegan,200.0,2.5,3.0
s10240,ravi patel,other,2026-02-25,19,chennai,computer science,sports meet,2026-07-02,email,pending,attended,vegetarian,250.0,4.0,3.0
s11223,arun kumar,female,2026-10-06,22,coimbatore,commerce,career fair,2026-04-15,walk-in,refunded,cancelled,non-vegetarian,100.0,1.5,3.0
s12922,suresh kumar,other,2026-03-25,19,hyderabad,computer science,seminar,2026-07-03,campus desk,refunded,registered,vegan,250.0,1.0,2.0
