Student ID,Student Name,Gender,Event Date,Age,City,Department,Event Type,Registration Date,Registration Channel,Payment Status,Attendance Status,Meal Preference,Registration Fee,Event Duration Hours,Feedback Rating
S12237,Lakshmi Rao,Other,8/2/2026,19,Kochi,Computer Science,Sports Meet,8/1/2026,Email,paid,Cancelled,Vegetarian,150,1,3
S11565,Manoj Kumar,Male,3/2/2026,21,Trichy,Mechanical,Career Fair,9/2/2026,Email,Waived,Cancelled,Non-Vegetarian,200,2,4
S12093,Swetha Menon,Other,5/15/2026,21,Salem,Arts,Workshop,16/04/2026,Website,Refunded,absent ,Vegan,Rs 750,2.5 hours,5
S11090,Manoj Kumar,,3/25/2026,18,Chennai,Arts,Cultural Fest,16/03/2026,Mobile App,Waived,absent,Non-Vegetarian,Rs 200,3.0 hours,3
S11896,Priya Sharma,female,20-Jan-26,24,Hyderabad,,Hackathon,11/1/2026,Campus Desk,Waived,Cancelled,Non-Vegetarian,200,4,2
S12839,Naveen Sharma,Other,23-Feb-26,18,Coimbatore,Computer Science,Career Fair,11/1/2026,Campus Desk,Paid,Attended,Vegan,150,2.5,1
S12062,Lakshmi Rao,Female,8/9/2026,26,Coimbatore,Arts,SEMINAR,4/7/2026,Website ,Pending,cancelled,Vegetarian,500,2,5
S11591,Lakshmi Rao,Other,2/4/2026,18,Pune,Management,WORKSHOP,18/03/2026,Campus Desk,PAID,Absent,Non-Vegetarian,Rs 150,2.5 hr,5
S11305,Harini Iyer,Male,8/9/2026,24,Coimbatore,Management,Hackathon,,Campus Desk,Waived,Attended,Vegan,300,6,3
S10346,Deepa Sharma,Other,2/24/2026,27,Chennai,Management,Seminar,10/2/2026,Email,Waived,Cancelled,No-meal,300,2,5.0 / 5
S12380,Pooja Das,Female,17-Jun-26,26,Chennai,Management,Seminar,2/6/2026,Walk-in,Pending,Attended,No-meal,100,2,5.0 / 5
S12003,Meena Patel,Other,15-Jul-26,27,Trichy,Civil Engineering,Cultural Fest,1/7/2026,Website,Paid,Attended,Vegetarian,250,1.5,3
S10307,Priya Sharma,Other,31-Aug-26,18,Trichy,Computer Science,Cultural Fest,6/7/2026,Walk-in,Waived,Cancelled,No Meal,Rs 200,4.0 hr,5
S10214, Keerthi Rao,Other,4/1/2026,27,Pune,Management,Sports Meet,14/03/2026,Walk-in,paid,Cancelled,Vegetarian,300 rupees,6.0 hours,3
S11315,Ajay Nair,Male,5-May-26,25, Kochi,Civil Engineering,Hackathon,19/04/2026,Email,Refunded,Attended,Vegan,300 rupees,2.0 hours,1.0 / 5
